,Home Team Possession %,Home Team Off Target Shots,Home Team On Target Shots,Home Team Corners,Home Team Throw Ins,Home Team Pass Success %,Home Team Aerials Won,Home Team Clearances,Home Team Fouls,Home Team Yellow Cards,Home Team Red Cards,Away Team Off Target Shots,Away Team On Target Shots,Away Team Corners,Away Team Throw Ins,Away Team Pass Success %,Away Team Aerials Won,Away Team Clearances,Away Team Fouls,Away Team Yellow Cards,Away Team Red Cards,Full Time Result
2194,43,7.0,3.0,11.0,12.0,76.0,17.0,17.0,16.0,4.0,0.0,1.0,5.0,5.0,27.0,82.0,16.0,12.0,11.0,0.0,0.0,0
2195,55,6.0,2.0,2.0,47.0,52.0,38.0,29.0,18.0,3.0,0.0,5.0,2.0,1.0,38.0,50.0,44.0,27.0,15.0,0.0,0.0,1
2196,62,8.0,4.0,10.0,21.0,85.0,25.0,12.0,14.0,4.0,0.0,4.0,2.0,1.0,16.0,75.0,13.0,20.0,12.0,2.0,0.0,0
2197,73,2.0,10.0,7.0,18.0,90.0,16.0,13.0,14.0,1.0,0.0,2.0,2.0,4.0,14.0,74.0,11.0,18.0,10.0,1.0,1.0,0
2198,55,0.0,3.0,1.0,18.0,84.0,14.0,26.0,7.0,1.0,0.0,8.0,3.0,7.0,19.0,80.0,20.0,5.0,19.0,2.0,0.0,0
2199,51,5.0,2.0,4.0,19.0,85.0,10.0,15.0,16.0,4.0,0.0,4.0,6.0,1.0,20.0,84.0,8.0,15.0,15.0,2.0,0.0,2
2200,41,2.0,5.0,3.0,25.0,79.0,14.0,20.0,16.0,3.0,0.0,3.0,7.0,8.0,24.0,83.0,18.0,12.0,12.0,3.0,0.0,1
2201,59,7.0,3.0,4.0,40.0,77.0,22.0,9.0,12.0,4.0,0.0,2.0,1.0,2.0,18.0,68.0,26.0,29.0,17.0,4.0,0.0,1
2202,57,5.0,1.0,10.0,23.0,85.0,19.0,15.0,12.0,4.0,0.0,3.0,7.0,4.0,20.0,80.0,19.0,25.0,14.0,2.0,0.0,2
2203,46,2.0,2.0,7.0,27.0,56.0,38.0,15.0,12.0,5.0,0.0,8.0,1.0,8.0,20.0,63.0,43.0,21.0,19.0,2.0,0.0,1
2204,73,8.0,4.0,6.0,25.0,87.0,22.0,13.0,10.0,2.0,0.0,4.0,0.0,2.0,12.0,68.0,18.0,20.0,16.0,1.0,0.0,0
2205,59,6.0,6.0,7.0,34.0,81.0,26.0,8.0,18.0,4.0,0.0,3.0,1.0,3.0,21.0,74.0,19.0,21.0,15.0,2.0,0.0,2
2206,53,3.0,0.0,7.0,42.0,61.0,45.0,18.0,12.0,2.0,0.0,4.0,1.0,3.0,23.0,58.0,27.0,25.0,14.0,3.0,0.0,2
2207,55,5.0,6.0,5.0,16.0,88.0,8.0,9.0,18.0,4.0,0.0,5.0,4.0,4.0,12.0,86.0,11.0,8.0,12.0,2.0,0.0,0
